doc_id,url,cache,text version,nature,published_datapolitics,entity_datapolitics,entity_type_datapolitics
2019/c6c89e9f7afb2419432222a54525df83a756768a_Proces_verbal_du,http://www.grandchambery.fr/fileadmin/mediatheque/grand-chambery/agglomeration/organisation-politique/Bureau_communautaire/2023/Proces_verbal_du_Bureau_du_21_decembre_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2019/c6c89e9f7afb2419432222a54525df83a756768a_Proces_verbal_du,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2019/c6c89e9f7afb2419432222a54525df83a756768a_Proces_verbal_du.txt,pv.cr,21/12/2023,CA du Grand Chambéry,Intercommunalité
6357/71845_1698228833-PV---Conseil-Municipal-16-01-2023.pdf,http://www.ville-saint-ay.fr/userfile/fichier-telechargement/1698228833-PV---Conseil-Municipal-16-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/6357/71845_1698228833-PV---Conseil-Municipal-16-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/6357/71845_1698228833-PV---Conseil-Municipal-16-01-2023.pdf.txt,pv.cr,16/01/2023,Saint-Ay,Commune
2515/213c7_proces-verbal-25-01-2023.pdf,https://www.gatine-racan.fr/wp-content/uploads/2023/03/proces-verbal-25-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2515/213c7_proces-verbal-25-01-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2515/213c7_proces-verbal-25-01-2023.pdf.txt,pv.cr,25/01/2023,CC de Gâtine-Racan,Intercommunalité
1086/ee2ec_2023_1_1.pdf,https://www.ville-mazeres.fr/IMG/pdf/2023_1_1.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1086/ee2ec_2023_1_1.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1086/ee2ec_2023_1_1.pdf.txt,pv.cr,31/01/2023,Mazères,Commune
3020/68132_cms_viewFile.php,https://www.fier-et-usses.com/cms_viewFile.php?idtf=99450&path=deliberation-2023-5-annexe.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3020/68132_cms_viewFile.php,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3020/68132_cms_viewFile.php.txt,acte.delib,26/01/2023,CC Fier et Usses,Intercommunalité
3132/6df22_cms_viewFile.php,https://www.grandbourg.fr/cms_viewFile.php?idtf=17579&path=2023-01-16-Proces-verbal-du-Bureau.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3132/6df22_cms_viewFile.php,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3132/6df22_cms_viewFile.php.txt,pv.cr,16/01/2023,CA du Bassin de Bourg-en-Bresse,Intercommunalité
2785/384c7_D%C3%A9lib%C3%A9rations_Conseil_Communautaire_27_f%C3%A9vrier_2023.pdf,https://www.dinan-agglomeration.fr/content/download/22870/298979/version/1/file/D%C3%A9lib%C3%A9rations_Conseil_Communautaire_27_f%C3%A9vrier_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2785/384c7_D%C3%A9lib%C3%A9rations_Conseil_Communautaire_27_f%C3%A9vrier_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2785/384c7_D%C3%A9lib%C3%A9rations_Conseil_Communautaire_27_f%C3%A9vrier_2023.pdf.txt,acte.delib,27/02/2023,CA Dinan Agglomération,Intercommunalité
1028/f3e7d_DEL-2023-006_Débat d'orientation budgétaire 2023_acteTampon.pdf,http://www.villeneuve-tolosane.fr/ad_attachment/Conseil_Municipal/2023/8.02.2023/DEL-2023-006_Débat d'orientation budgétaire 2023_acteTampon.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1028/f3e7d_DEL-2023-006_Débat d'orientation budgétaire 2023_acteTampon.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1028/f3e7d_DEL-2023-006_Débat d'orientation budgétaire 2023_acteTampon.pdf.txt,acte.delib,13/02/2023,Villeneuve-Tolosane,Commune
3502/45439_1c-Procès-verbal du CM 7-02-2023.pdf,http://crosne.fr/data/1c-Procès-verbal du CM 7-02-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3502/45439_1c-Procès-verbal du CM 7-02-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3502/45439_1c-Procès-verbal du CM 7-02-2023.pdf.txt,pv.full,07/02/2023,Crosne,Commune
2690/f241c_DELBU2023-02-012-CESSION-TERRAIN-SAINT-LOUP-PABU-tampon.pdf,https://www.guingamp-paimpol-agglo.bzh/wp-content/uploads/2023/02/DELBU2023-02-012-CESSION-TERRAIN-SAINT-LOUP-PABU-tampon.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2690/f241c_DELBU2023-02-012-CESSION-TERRAIN-SAINT-LOUP-PABU-tampon.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2690/f241c_DELBU2023-02-012-CESSION-TERRAIN-SAINT-LOUP-PABU-tampon.pdf.txt,acte.delib,16/02/2023,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,Intercommunalité
1860/edf37_Conseil-de-Communaute-du-16-fevrier-2023.pdf,https://www.ales.fr/wp-content/uploads/2023/04/Conseil-de-Communaute-du-16-fevrier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1860/edf37_Conseil-de-Communaute-du-16-fevrier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1860/edf37_Conseil-de-Communaute-du-16-fevrier-2023.pdf.txt,acte.delib,16/02/2023,Alès,Commune
3132/b91a1_cms_viewFile.php,https://www.grandbourg.fr/cms_viewFile.php?idtf=18005&path=2023-02-13-Proces-Verbal-du-Bureau.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3132/b91a1_cms_viewFile.php,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3132/b91a1_cms_viewFile.php.txt,pv.cr,13/02/2023,CA du Bassin de Bourg-en-Bresse,Intercommunalité
2575/29922_CCBHAP-PV-arrete-Conseil-2-fevrier-2023.pdf,https://www.ccbastides47.com/wp-content/uploads/2023/03/CCBHAP-PV-arrete-Conseil-2-fevrier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2575/29922_CCBHAP-PV-arrete-Conseil-2-fevrier-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2575/29922_CCBHAP-PV-arrete-Conseil-2-fevrier-2023.pdf.txt,pv.cr,02/02/2023,CC des Bastides en Haut Agenais Périgord,Intercommunalité
2512/b2cf4_CR_09_f%C3%A9vrier_2023.pdf,https://www.legiennois.fr/images/3-Boismorand/CR_09_f%C3%A9vrier_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2512/b2cf4_CR_09_f%C3%A9vrier_2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2512/b2cf4_CR_09_f%C3%A9vrier_2023.pdf.txt,pv.cr,09/02/2023,CC Giennoises,Intercommunalité
3064/a3b43_PV_du_15-02-2023.pdf,https://www.sudroussillon.fr/images/Actes_Isabelle/2023/COMPTES_RENDUS_BUREAUX/PV_du_15-02-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3064/a3b43_PV_du_15-02-2023.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3064/a3b43_PV_du_15-02-2023.pdf.txt,pv.cr,15/02/2023,CC Sud-Roussillon,Intercommunalité
